Grip,Link,Strike,Type,Tot Damage,Atk Spd,Crit %,Stat %
Jayap,Ekwana II Jai,Balla,staff,64.0,65.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Cyath,polearm,68.0,60.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Dehtat,polearm,64.0,65.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Dokrahm,heavy blade,64.0,65.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Kronsh,polearm,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Mewan,polearm,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Ooltha,staff,68.0,60.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Plague Keewar,staff,75.0,58.0,0.09999999999999999,0.36
Jayap,Ekwana II Jai,Plague Kripath,polearm,66.0,62.0,0.14,0.32
Jayap,Ekwana II Jai,Rabvee,hammer,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Jai,Sepfahn,staff,68.0,60.0,0.12000000000000001,0.34
Jayap,Ekwana II Ruhang,Balla,staff,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Cyath,polearm,86.0,51.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Dehtat,polearm,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Dokrahm,heavy blade,82.0,56.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Kronsh,polearm,100.0,47.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Mewan,polearm,100.0,47.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Ooltha,staff,86.0,51.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Plague Keewar,staff,93.0,49.0,0.09999999999999999,0.36
Jayap,Ekwana II Ruhang,Plague Kripath,polearm,84.0,53.0,0.14,0.32
Jayap,Ekwana II Ruhang,Rabvee,hammer,100.0,47.0,0.09999999999999999,0.32
Jayap,Ekwana II Ruhang,Sepfahn,staff,86.0,51.0,0.12000000000000001,0.34
Jayap,Ekwana Jai II,Balla,staff,60.0,70.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Cyath,polearm,64.0,65.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Dehtat,polearm,60.0,70.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Dokrahm,heavy blade,60.0,70.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Kronsh,polearm,78.0,61.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Mewan,polearm,78.0,61.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Ooltha,staff,64.0,65.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Plague Keewar,staff,71.0,63.0,0.13999999999999999,0.29000000000000004
Jayap,Ekwana Jai II,Plague Kripath,polearm,62.0,67.0,0.18,0.25
Jayap,Ekwana Jai II,Rabvee,hammer,78.0,61.0,0.13999999999999999,0.25
Jayap,Ekwana Jai II,Sepfahn,staff,64.0,65.0,0.16,0.27
Jayap,Ekwana Jai,Balla,staff,64.0,65.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Cyath,polearm,68.0,60.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Dehtat,polearm,64.0,65.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Dokrahm,heavy blade,64.0,65.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Kronsh,polearm,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Mewan,polearm,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Ooltha,staff,68.0,60.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Plague Keewar,staff,75.0,58.0,0.13999999999999999,0.29000000000000004
Jayap,Ekwana Jai,Plague Kripath,polearm,66.0,62.0,0.18,0.25
Jayap,Ekwana Jai,Rabvee,hammer,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Jai,Sepfahn,staff,68.0,60.0,0.16,0.27
Jayap,Ekwana Ruhang II,Balla,staff,96.0,52.0,0.13999999999999999,0.25
